timestamp,ecg
0.000,0.12
0.004,0.18
0.008,0.25
0.012,0.34
0.016,0.42
0.020,0.51
0.024,0.60
0.028,0.56
0.032,0.48
0.036,0.39
0.040,0.30
0.044,0.19
0.048,0.10
0.052,0.08
0.056,0.15
0.060,0.24
0.064,0.33
0.068,0.45
0.072,0.58
0.076,0.64
0.080,0.59
0.084,0.49
0.088,0.38
0.092,0.20
0.096,0.11
0.100,0.12
0.104,0.22
0.108,0.31
0.112,0.40
0.116,0.52
0.120,0.61
0.124,0.57
0.128,0.47
0.132,0.36
0.136,0.25
0.140,0.14
0.144,0.09
0.148,0.13
0.152,0.24
0.156,0.35
0.160,0.47
0.164,0.58
0.168,0.66
0.172,0.60
0.176,0.50
0.180,0.41
0.184,0.27
0.188,0.16
0.192,0.10
0.196,0.09
0.200,0.19
0.204,0.28
0.208,0.38
0.212,0.49
0.216,0.56
0.220,0.63
0.224,0.59
0.228,0.47
0.232,0.35
0.236,0.22
0.240,0.12
0.244,0.08
0.248,0.15
0.252,0.25
0.256,0.38
0.260,0.49
0.264,0.59
0.268,0.67
0.272,0.62
0.276,0.54
0.280,0.44
0.284,0.30
0.288,0.18
0.292,0.09
0.296,0.14
0.300,0.25
