timestamp,ecg
0.0,0.0099
0.004,-0.0026
0.008,0.0132
0.012,0.0309
0.016,-0.0041
0.02,-0.0039
0.024,0.0327
0.028,0.017
0.032,-0.0069
0.036,0.0148
0.04,-0.0031
0.044,0.0005
0.048,0.0199
0.052,-0.0158
0.056,-0.0025
0.06,0.0325
0.064,0.0367
0.068,0.0771
0.072,0.0655
0.076,0.0659
0.08,0.1301
0.084,0.0981
0.088,0.1007
0.092,0.0631
0.096,0.0695
0.1,0.0695
0.104,0.0307
0.108,0.0487
0.112,0.0184
0.116,0.0159
0.12,0.0034
0.124,0.048
0.128,0.0078
0.132,-0.0156
0.136,0.0159
0.14,-0.0423
0.144,-0.0356
0.148,-0.0471
0.152,0.1391
0.156,0.4968
0.16,0.8795
0.164,1.1234
0.168,1.1324
0.172,0.8896
0.176,0.4859
0.18,0.143
0.184,-0.0773
0.188,-0.1252
0.192,-0.122
0.196,-0.1138
0.2,-0.0285
0.204,-0.0174
0.208,-0.0121
0.212,0.0176
0.216,0.0271
0.22,0.0255
0.224,-0.0097
0.228,0.001
0.232,0.014
0.236,0.027
0.24,-0.0019
0.244,0.0042
0.248,-0.014
0.252,-0.0155
0.256,0.0251
0.26,0.0365
0.264,0.0086
0.268,0.031
0.272,0.0193
0.276,0.0007
0.28,0.0227
0.284,0.0487
0.288,0.0204
0.292,0.0563
0.296,-0.0226
0.3,0.0522
0.304,0.0445
0.308,0.0451
0.312,0.0627
0.316,0.0322
0.32,0.0801
0.324,0.1056
0.328,0.1431
0.332,0.1193
0.336,0.1304
0.34,0.1537
0.344,0.1992
0.348,0.2042
0.352,0.2027
0.356,0.2377
0.36,0.2416
0.364,0.2689
0.368,0.2426
0.372,0.2541
0.376,0.2538
0.38,0.2301
0.384,0.2599
0.388,0.2509
0.392,0.235
0.396,0.2172
0.4,0.1788
0.404,0.1827
0.408,0.1675
0.412,0.1413
0.416,0.1373
0.42,0.1323
0.424,0.1466
0.428,0.0981
0.432,0.0867
0.436,0.0685
0.44,0.0214
0.444,0.0505
0.448,0.0448
0.452,0.0866
0.456,0.0284
0.46,0.0342
0.464,0.0242
0.468,-0.001
0.472,0.0433
0.476,0.034
0.48,0.0337
0.484,-0.0011
0.488,0.0447
0.492,-0.0118
0.496,0.0278
0.5,0.0597
0.504,-0.0039
0.508,0.0046
0.512,0.0179
0.516,0.0059
0.52,-0.0149
0.524,0.0176
0.528,-0.0049
0.532,0.0259
0.536,-0.0019
0.54,0.0476
0.544,0.0011
0.548,0.0104
0.552,0.0333
0.556,-0.0075
0.56,0.0218
0.564,0.0435
0.568,-0.0147
0.572,0.0213
0.576,0.0229
0.58,0.0335
0.584,-0.0068
0.588,-0.0084
0.592,0.0286
0.596,0.0242
0.6,0.0234
0.604,0.0255
0.608,0.005
0.612,0.0234
0.616,0.0247
0.62,0.0047
0.624,0.0564
0.628,0.0287
0.632,-0.0045
0.636,0.0326
0.64,0.0001
0.644,0.0354
0.648,0.043
0.652,0.0035
0.656,0.0393
0.66,0.0284
0.664,0.0367
0.668,0.0583
0.672,0.0156
0.676,0.0055
0.68,0.0029
0.684,0.0045
0.688,0.0194
0.692,0.0279
0.696,0.0267
0.7,0.0378
0.704,0.0217
0.708,0.0506
0.712,0.0163
0.716,0.0761
0.72,0.0344
0.724,0.0048
0.728,0.0007
0.732,0.0318
0.736,0.0178
0.74,0.0367
0.744,0.032
0.748,0.0212
0.752,0.0058
0.756,-0.0074
0.76,0.014
0.764,0.0402
0.768,0.0275
0.772,-0.0016
0.776,0.0269
0.78,0.0312
0.784,0.006
0.788,0.0268
0.792,0.025
0.796,0.0011
0.8,0.0312
0.804,0.0354
0.808,0.046
0.812,0.0455
0.816,-0.003
0.82,0.0059
0.824,0.035
0.828,0.0351
0.832,0.0353
0.836,0.1021
0.84,0.0366
0.844,0.048
0.848,0.0445
0.852,0.0387
0.856,0.0196
0.86,0.0415
0.864,0.0116
0.868,0.0235
0.872,0.0204
0.876,0.0349
0.88,0.0842
0.884,0.0072
0.888,0.067
0.892,0.0321
0.896,0.0677
0.9,0.1127
0.904,0.1055
0.908,0.0941
0.912,0.1094
0.916,0.1407
0.92,0.111
0.924,0.1235
0.928,0.1099
0.932,0.0833
0.936,0.1256
0.94,0.0824
0.944,0.0177
0.948,0.0526
0.952,0.0285
0.956,0.0537
0.96,0.0175
0.964,0.0286
0.968,0.0368
0.972,0.0311
0.976,-0.034
0.98,-0.0127
0.984,0.1034
0.988,0.3826
0.992,0.8053
0.996,1.0895
1.0,1.1592
1.004,1.0412
1.008,0.7141
1.012,0.3103
1.016,-0.0167
1.02,-0.1199
1.024,-0.0918
1.028,-0.086
1.032,-0.0147
1.036,0.0232
1.04,0.0042
1.044,0.0272
1.048,-0.0347
1.052,0.0101
1.056,0.0258
1.06,0.006
1.064,0.0637
1.068,0.0026
1.072,0.0225
1.076,0.0341
1.08,0.0606
1.084,0.0033
1.088,0.0556
1.092,0.033
1.096,0.0138
1.1,0.0434
1.104,0.0392
1.108,0.0245
1.112,0.0397
1.116,0.0328
1.12,0.0457
1.124,0.0602
1.128,0.0832
1.132,0.0322
1.136,0.1062
1.14,0.0324
1.144,0.0776
1.148,0.1031
1.152,0.109
1.156,0.1043
1.16,0.1273
1.164,0.1374
1.168,0.1521
1.172,0.198
1.176,0.2054
1.18,0.2012
1.184,0.2491
1.188,0.252
1.192,0.275
1.196,0.282
1.2,0.2608
1.204,0.2712
1.208,0.2993
1.212,0.2954
1.216,0.2784
1.22,0.2738
1.224,0.2869
1.228,0.2372
1.232,0.2457
1.236,0.2151
1.24,0.1982
1.244,0.2075
1.248,0.1851
1.252,0.1683
1.256,0.1623
1.26,0.1219
1.264,0.1217
1.268,0.0897
1.272,0.0917
1.276,0.0734
1.28,0.07
1.284,0.0733
1.288,0.0396
1.292,0.0933
1.296,0.0278
1.3,0.0208
1.304,0.0661
1.308,0.0572
1.312,0.0526
1.316,0.0518
1.32,0.0383
1.324,0.0202
1.328,0.0394
1.332,0.0241
1.336,0.0571
1.34,0.0346
1.344,0.021
1.348,0.0311
1.352,0.0459
1.356,0.0264
1.36,0.0213
1.364,0.0427
1.368,0.0428
1.372,0.0278
1.376,0.0286
1.38,0.0428
1.384,0.0092
1.388,0.0101
1.392,0.024
1.396,0.0342
1.4,0.0447
1.404,0.0681
1.408,0.0558
1.412,0.0356
1.416,0.0385
1.42,0.0189
1.424,0.0386
1.428,0.0333
1.432,0.0456
1.436,0.0227
1.44,0.0497
1.444,0.07
1.448,0.0373
1.452,0.0476
1.456,0.0534
1.46,0.0317
1.464,0.0443
1.468,0.0401
1.472,0.0419
1.476,0.0245
1.48,0.0406
1.484,0.0501
1.488,0.0693
1.492,0.0595
1.496,0.0834
1.5,0.0251
1.504,0.058
1.508,0.0443
1.512,0.0845
1.516,0.0246
1.52,0.024
1.524,0.0289
1.528,-0.0015
1.532,0.0305
1.536,0.0259
1.54,0.0442
1.544,0.0481
1.548,0.0788
1.552,0.0604
1.556,0.0299
1.56,0.0236
1.564,0.0514
1.568,0.0153
1.572,0.0784
1.576,0.0654
1.58,0.0325
1.584,0.0077
1.588,0.0691
1.592,0.0398
1.596,0.0669
1.6,0.0103
1.604,0.0303
1.608,0.0425
1.612,0.0434
1.616,0.0335
1.62,0.055
1.624,0.0213
1.628,0.0398
1.632,0.0452
1.636,0.0531
1.64,0.0571
1.644,0.0204
1.648,0.0123
1.652,0.0686
1.656,0.0498
1.66,0.0282
1.664,0.0743
1.668,0.0456
1.672,0.067
1.676,0.0448
1.68,0.0848
1.684,0.0788
1.688,0.0389
1.692,0.0636
1.696,0.0576
1.7,0.073
1.704,0.028
1.708,0.0636
1.712,0.0751
1.716,0.0246
1.72,0.0441
1.724,0.0373
1.728,0.0849
1.732,0.1182
1.736,0.1475
1.74,0.1311
1.744,0.1714
1.748,0.1163
1.752,0.1099
1.756,0.1379
1.76,0.1376
1.764,0.1172
1.768,0.063
1.772,0.0892
1.776,0.0527
1.78,0.0821
1.784,0.0681
1.788,0.0362
1.792,0.0408
1.796,0.0272
1.8,0.0441
1.804,0.0553
1.808,-0.005
1.812,0.0112
1.816,0.0612
1.82,0.2857
1.824,0.6581
1.828,0.9903
1.832,1.1845
1.836,1.0964
1.84,0.8561
1.844,0.4273
1.848,0.0911
1.852,-0.0645
1.856,-0.1101
1.86,-0.0776
1.864,-0.01
1.868,0.0304
1.872,0.0243
1.876,0.0314
1.88,0.04
1.884,0.0001
1.888,0.016
1.892,0.0738
1.896,0.0794
1.9,0.0416
1.904,0.0582
1.908,0.053
1.912,0.1085
1.916,0.0695
1.92,0.0448
1.924,0.0286
1.928,0.0161
1.932,0.053
1.936,0.0346
1.94,0.0225
1.944,0.0396
1.948,0.0329
1.952,0.0908
1.956,0.078
1.96,0.0643
1.964,0.0992
1.968,0.0773
1.972,0.0659
1.976,0.1223
1.98,0.1128
1.984,0.0928
1.988,0.1226
1.992,0.1232
1.996,0.1284
2.0,0.1909
2.004,0.2275
2.008,0.1785
2.012,0.2347
2.016,0.2268
2.02,0.2452
2.024,0.2566
2.028,0.2625
2.032,0.2897
2.036,0.2781
2.04,0.3031
2.044,0.2964
2.048,0.2892
2.052,0.2694
2.056,0.2668
2.06,0.2818
2.064,0.2629
2.068,0.2181
2.072,0.2232
2.076,0.2193
2.08,0.1538
2.084,0.1812
2.088,0.141
2.092,0.1505
2.096,0.1099
2.1,0.0764
2.104,0.0688
2.108,0.0925
2.112,0.0883
2.116,0.0579
2.12,0.0828
2.124,0.032
2.128,0.06
2.132,0.034
2.136,0.0428
2.14,0.0549
2.144,0.0353
2.148,0.0438
2.152,0.0709
2.156,0.0386
2.16,0.0665
2.164,0.0269
2.168,0.0599
2.172,0.0781
2.176,-0.0003
2.18,0.0332
2.184,0.0606
2.188,0.045
2.192,0.0565
2.196,0.037
2.2,0.0509
2.204,0.046
2.208,0.0725
2.212,0.0543
2.216,0.056
2.22,0.041
2.224,0.0395
2.228,0.0406
2.232,0.0572
2.236,0.0409
2.24,0.0551
2.244,0.0909
2.248,0.0668
2.252,0.0429
2.256,0.0734
2.26,0.0413
2.264,0.0087
2.268,0.0293
2.272,0.0121
2.276,0.0425
2.28,0.0499
2.284,0.0831
2.288,0.0561
2.292,0.0452
2.296,0.0662
2.3,0.0054
2.304,0.0543
2.308,0.0651
2.312,0.0201
2.316,0.0725
2.32,0.0565
2.324,0.0414
2.328,0.0624
2.332,0.0951
2.336,0.0534
2.34,0.0547
2.344,0.0406
2.348,0.0328
2.352,0.0664
2.356,0.0327
2.36,0.0512
2.364,0.0403
2.368,0.0594
2.372,0.0565
2.376,0.0706
2.38,0.0397
2.384,0.0445
2.388,0.0303
2.392,0.041
2.396,0.0574
2.4,0.065
2.404,0.0315
2.408,0.0673
2.412,0.077
2.416,0.0582
2.42,0.0875
2.424,0.0345
2.428,0.0251
2.432,0.0144
2.436,0.0799
2.44,0.0631
2.444,0.0489
2.448,0.0556
2.452,0.0275
2.456,0.0989
2.46,0.0526
2.464,0.0522
2.468,0.0645
2.472,0.0596
2.476,0.0545
2.48,0.0342
2.484,0.0594
2.488,0.0876
2.492,0.0769
2.496,0.0819
2.5,0.0398
2.504,0.0302
2.508,0.0475
2.512,0.0511
2.516,0.072
2.52,0.0163
2.524,0.0809
2.528,0.0476
2.532,0.0429
2.536,0.0325
2.54,0.0218
2.544,0.0749
